JI1_140112	JI1_140112,JI8_24235
PL1_1591	PL1_1591,HP74_2904,HP20_5292,HP17_10192,ES25_20004,ES40_1590,PL67_41244,PL18_7776,PL12_36327,HP63_254354,SB1_4194,HP21_3253,HP22_6196,SB5_2765,ES33_49222,HP23_3873,HP52_1366,HP4_179305,NC3_3627,PL57_66564,SB3_3483,PL42_46556,HP58_4236,HP11_40552,SJ5_4488,PL15_3455,SJ6_2418,PL27_1246,HP75_103176,PL54_1851,ES24_5674,HP59_3027,ES3_3625,PL64_211823,HP37_42039,PL69_100626,PL47_1206,HP82_19553,PL65_122968,PL33_3180,PL58_488,OC8_1632,HP83_20293,OC7_3573,HP10_114604,PL61_20869,ES36_30087,ES34_366269,PL37_75030,ES26_60819,PL30_2613,PL13_6318,JW7_2583,ES16_5485,PL28_55776,HP44_35521,HP27_17315,JW5_1934,HP1_309,PL53_3524,PL50_18122,PL35_2303,HP28_195017,JW6_4235,HP18_2189,ES23_7851,PL40_10348,HP68_53709,HP2_12698,OC3_485,HP30_1776,ES42_1381,PL70_14911,PL48_8434,HP72_10874,ES9_2823,ES29_41011,ES28_20184,PL20_1450,HP51_30646,ES17_1725,SJ9_972,PL26_21584,HP40_7262,ES20_22177,HP91_6739,HP49_35555,PL62_104846,PL29_2328,HP89_2129,HP73_45182,HP70_17039,PL46_7955,OC6_9406,HP88_728,HP60_398450,HP47_215965,HP39_88516,HP26_1573,PL31_718,PL21_147657,ES38_4001,PL45_32101,PL3_4475,PL23_1467,HP48_11507,HP35_5508,ES46_3810,PL2_8267,PL75_10565,PL34_3773,PL68_45531,ES43_67577,ES19_28218,PL36_18305,PL17_106,OC9_1570,HP77_51858,HP53_67289,ES11_65280,PL59_18141,PL32_35917,OC17_119,HP67_28133,SJ7_1999,ES15_586,PL24_1360,HP76_1977,ES1_1979,PL60_3009,HP29_25,HP81_172092,OC15_282,SB4_1341,ES39_15407,NC5_1883,SJ13_954,PL72_1911,PL22_449,NC7_2818,ES30_142,PL25_877,PL19_2293,HP78_96897,ES32_79661,HP66_173222,SB7_5972,HP7_997,ES18_15875,SJ10_554,SB2_187,ES45_8529,HP54_66879,PL52_6184,PL16_1495,HP87_565,JW15_332,HP92_3881,HP61_394995,HP34_15162,ES16_4047,ES12_16965,SJ15_747,HP12_142566,HP24_1071,ES31_2657,PL5_15712,ES22_1152,SJ5_2036,HP90_995,HP56_185818,PL63_18240,HP32_2337,SJ11_1795,PL4_9139,HP14_2450,ES27_4368,NC4_264,PL56_5122,PL49_79186,NC1_39,HP86_2313,HP84_16520,ES32_18425,PL64_22130,OC5_361,HP85_2697,HP15_4582,JW12_3264,HP31_2883,HP64_73103,HP55_93192,OC1_579,HP65_31659,HP62_145279,HP38_7322,JW2_317,HP64_190357,PL59_5351,JW1_2060,PL44_13579,HP57_115183,JW8_226,SJ2_2739,PL55_5445,HP45_9915,PL18_1252,HP69_1943,OC7_761,HP77_147496,HP4_26521,ES40_5730,SJ12_853,PL56_9486,ES13_3145,PL43_35546,OC11_221,SJ8_903,PL5_7015,HP62_21600,SB1_3605,NC6_356,HP72_135461,SJ7_3411,PL45_13583,PL57_49540,HP54_103247,JW11_185,JW13_4217,PL4_9123,OC14_2801,HP79_28929,PL13_11932,PL58_2982,HP13_212,PL73_172,NC2_1740,HP16_964,SJ4_544,JW10_114,HP25_2881,PL74_96,OC2_26,HP79_99457,ES19_7514,PL26_13466,OC13_2556,PL39_2876,PL76_3658,HP73_12689,OC6_7907,JW14_28,HP91_2257,HP52_2025,ES25_30369,PL28_66680,HP60_203190,HP25_7044,IL36_29218,IL25_28683,SJ6_3580,HP48_9888,IL27_17954,ES45_3138,HP80_19386,HP71_396458,NC3_3448,PL49_22677,PL32_33119,PL2_1179,NC7_3166,JI2_428097,ES38_2803,HP89_2098,OC10_72,JI6_111994,WT-INF_35407,JI1_370484,HP34_15060,PL20_2595,HP83_15816,ES30_13749,IL35_66747,IL32_80655,ES35_9867,ES31_8547,PL70_16883,PL55_3042,HP78_235364,HP29_28905,FD-INF_253969,ES21_106624,IL34_181490,HP38_8824,JI3_417971,IL12_2165,XS2_87677,IL31_23235,HP10_59143,IL22_17304,HP36_64861,IL6_30701,ZR-INF_56289,IL30_46288,IL10_80227,HP63_91702,JW6_1858,ES34_89461,WC35_47346,HP61_189263,PL25_2613,IL11_56552,PL33_474,IL7_12519,IL2_7322,ES39_3183,ES20_8180,HP28_103199,PL46_6589,IL39_10835,ES26_41124,IL8_40788,PL17_1918,HP53_71872,ES28_1144,ES22_18948,PL75_7108,ES36_9482,HP32_1603,PL29_6827,HP37_98238,PL34_14799,ES42_2015,PL68_53976,IL4_36570,PL69_25075,HP49_10631,HP15_1090,HP19_5512,HP81_74285,HP85_656,PL21_142043,HP16_948,HP82_22476,ES23_5145,ES43_56393,NC1_319,PL67_45801,HP80_13976,ES9_1062,ES21_103647,HP90_2011,JI4_84979,JW9_236,PL47_3562,HP3_3063,HP1_2998,WC6_34004,WC4_35960,HP6_94913,HP19_5092,PL37_58800,SJ1_1243,OC8_737,ES44_4444,ES7_1698,IL41_63380,HP3_4785,OC12_170,HP24_5113,ES3_8350,PL53_501,IL42_60746,WC11_43410,HP59_709,HP51_25124,OC4_7796,ES17_1404,PL36_22825,WC20_32341,PL8_4384,WC8_23850,ES15_7408,PL3_11191,WC21_123,WC10_22580,PL50_8055,PL19_363,HP5_233350,PL54_5382,WC3_14911,PL71_98526,JW15_588,WC31_26035,PL60_2928,WC5_1202,WC29_37228,HP87_1419,OC1_2215,PL66_43091,XS3_12087,SB5_1998,HP40_6267,WC9_39180,WC17_24764,WC7_36957,HP23_3114,WC15_32481,XS1_9593,PL66_810,HP35_5148,WC13_17608,ES35_27751,JW7_937,PL14_89,SB6_844,ES44_4176,ES46_607,PL27_1062,PL61_8466,PL65_45269,PL77_195,HP27_17271,HP17_6301,HP47_160565,JI5_242220,ES29_44767,HP30_2108,PL16_224,IL24_2887,HP92_3458,OC9_1543,HP11_82237,ES11_158100,HP21_8378,IL29_26939,HP26_5772,WC43_38799,NG1_145450,HP86_2072,FR-INF_246390,ES2_54273,OC4_2776,PL11_10299,ES33_1349,SJ3_243,SJ14_5207,HP31_5196,HP12_11454,WC30_28674,SB6_560,HP14_1006,SJ15_6713,WC23_15801,KB21_136861,WC18_48538,PL62_30916,HP46_15775,MN-INF_251797,HP75_49572,SJ10_248,JW4_177,WC25_20468,JI12_184689,ES27_5320,HP88_4810,IL28_19665,IL19_38659,HP50_6833,IL17_57044,IL21_20201,IL20_35154,IL26_9166,IL18_26244,HP20_240,HP6_34889,WT-INF_213936,WC32_37036,SA2_48737,WC1_30819,WC12_28713,WC14_2290,SJ8_1035,AD-INF_260316,WC22_13315,WC19_3069,IL3_46111,WC28_30930,PL76_3251,TU-EFF_67378,WC41_15342,SJ12_1511,OC14_1376,HP8_3557,JI13_271375,IL16_55374,WC26_26061,WC16_34924,TU-INF_82322,WC24_15425,PL63_2147,PL15_2525,PL72_15928,WT-AS_58300,OC16_4,IL40_103871,WC2_17334,IL14_40819,HP56_73710,ES8_135247,IL33_113658,JW3_302,PL23_2216,HP13_2335,OC13_5112,XS2_55441,SB2_668,KB7_124124,XS3_7427,FD-AS_245994,ES5_6755,HP44_42329,SJ3_1737,PL9_1146,SB3_4965,SB7_10067,HY3_12425,PL71_88305,WT-DS_17507,ES13_20108,GU2_1276,TE-DS_227288,OC11_192,SJ13_850,PL22_386,TE-INF_75022
JI7_132914	JI7_132914
FD-AS_107959	FD-AS_107959,FD-EFF_101666,FD-DS_184759
PL63_4352	PL63_4352,PL56_7483,PL49_82590,PL65_28544,PL66_16029,ES30_9620,ES33_105334,ES32_6067,PL70_13496,HP25_4634,HP35_965,HP75_97718,ES46_3512,PL48_7666,ES31_3730,HP26_752,HP76_20993,HP83_117755
ZR-AS_309415	ZR-AS_309415,ZR-DS_84780,JI13_343258,TE-DS_118770,TE-AS_45893,ZR-EFF_91689,TE-EFF_102604,IL36_69622,AH-AS_299505,IL37_19129
ES43_95309	ES43_95309,ES38_1061,ES38_1521,HP82_18374,OC4_2065
TG-AS_148795	TG-AS_148795,TG-DS_83719
TE-EFF_15606	TE-EFF_15606,WT-DS_291780,WT-EFF_40216,WT-AS_75658,TE-AS_97899
SF29_35054	SF29_35054
JI5_176797	JI5_176797,IL37_25610
SF57_158055	SF57_158055,SF58_89969
JI5_195651	JI5_195651,JI6_25630
ZR-DS_74607	ZR-DS_74607,ZR-AS_238734,EM-DS_171748,EM-AS_28536,ZR-EFF_186146
TG-AS_138292	TG-AS_138292,ZR-AS_78947,ZR-DS_314649,TG-DS_54240,ZR-EFF_183719
JI13_121323	JI13_121323,JI5_326812,JI14_20367,JI8_46206
IL5_11453	IL5_11453,IL6_68791,IL21_2353,IL1_8795,IL18_13488,IL17_16052,IL7_5087,IL37_112301,IL2_44880,IL26_8692,IL20_60007,IL15_37420,IL36_22887,IL3_57356,IL27_1112,IL32_106028,IL24_29013,IL4_23245,IL28_39558,IL8_63776,IL12_108790,IL25_7726,IL9_28146,IL23_35911,IL10_106173,IL16_12652,IL22_2789,IL29_788,IL30_66876,IL19_27940
TG-EFF_246902	TG-EFF_246902,JI12_127199,JI13_45377,JI7_229050,JI9_33722,TE-EFF_43364,WT-EFF_263705,JI5_87208
NG1_228754	NG1_228754
FD-EFF_184323	FD-EFF_184323,FD-AS_130506,FD-DS_213478,TE-DS_316810,FD-INF_100926,TE-AS_161648
JI13_28804	JI13_28804,JI12_124205,JI14_170588
TG-DS_154228	TG-DS_154228,TG-AS_202307
TG-AS_147845	TG-AS_147845,TU-AS_93012,TG-DS_196081,TU-DS_390769
TU-DS_157257	TU-DS_157257,TU-INF_130523,TU-EFF_90102
SF68_48123	SF68_48123,SF53_24090,SF55_19677,SF54_64755,SF11_20993,SF56_55036,EM-EFF_124894,SF9_10467,SF10_11324,SF8_26240,SF64_46000,SF5_53405
HP40_2196	HP40_2196,HP22_7312,HP10_81690,HP32_2636,HP31_5904,HP84_16174,HP52_4191,HP76_151102,HP38_10841,HP11_88607,HP18_4863,HP11_73021,HP12_52544,HP19_3642,HP22_7234,HP25_1897,HP38_6182,HP34_9301,HP35_3241,HP32_8320,HP80_10865,HP3_1752,HP2_3872,HP81_51736,HP52_12302,HP47_252344,ES40_16877,ES36_10719,ES35_11667,ES39_3286,PL75_8874,PL62_25406,PL54_5663,ES40_24851,ES36_11651,SF20_12613,SF19_42534,HP4_218643,SF21_33269,IL14_87777,HP20_3327,HP35_2932,HP1_4539,HP73_44696,ES39_15234,HP76_79139,HP75_70015,HP74_24009,JW6_3230,HP49_54080,PL56_10670,HP72_46181,HY1_26932,SF22_100181,HP53_37886,JW7_9,HP37_129391,JW5_1579,GU3_107473,HP25_5728,HP82_12266,PL55_1100,PL75_7865,SF23_75846,GU1_11720
ES36_2774	ES36_2774
MN-AS_236237	MN-AS_236237,TU-DS_244111,TU-EFF_321848,TU-AS_59208,MN-INF_82574,MN-DS_344955,MN-EFF_282715
FD-EFF_173502	FD-EFF_173502
MN-EFF_91524	MN-EFF_91524,JI3_363393,JI1_370202,JI2_442678
HP23_2574	HP23_2574,HP75_13770,HP72_101886,HP22_1163,HP82_10277,ES45_4908,HP1_3971,ES15_6167,PL70_15251,HP32_7330,PL63_7579,HP40_3484,HP47_348571,ES44_4026,ES32_23485,HP17_2514,ES44_4079,OC4_4379,PL65_43470,HP24_3115,HP20_3252,HP20_1659,SB1_189,PL2_8531,PL15_1882,HP84_16916,NC3_568,HP17_7384,PL69_66593,HP74_16407,ES31_4132,PL1_616,ES21_26574,HP91_6641,PL72_2764,PL66_2581,ES30_1654,ES39_4945,HP79_53680,PL19_2813,HP24_4949,HP19_4692,HP92_875,HP47_251883,PL66_34014,SB3_3932,ES33_11116,PL63_5352
JI13_348841	JI13_348841,JI14_194196
SJ7_2524	SJ7_2524,HP74_1417,SB4_4576,HP20_5268,ES29_6103
WC20_18528	WC20_18528,WC23_1284,WC43_4041,WC17_446,WC8_22617,WC6_16621,WC4_2204,WC3_21938,WC27_2519,WC15_2792,WC11_18265,WC22_10404,IL42_110929,WC28_2587,WC5_3440,WC32_3227,WC19_20321,IL41_91072,WC25_5175,WC13_19376,WC31_16721,WC9_10046,IL34_26118,WC35_32079,WC14_15234,WC10_15575,WC29_12525,WC26_18207,WC30_19812,WC21_1495,WC18_6759,WC41_879,WC7_3248,WC12_6951,WC24_8147,WC16_12655,WC2_9095,WC34_11170,WC1_12119,IL36_47982,JI1_344748,IL32_31784,JI2_133983,JI3_212824,JI5_161011,JI4_177594,JI6_106497,IL13_49707,IL11_92544,JI12_115713,IL37_61796,IL12_43954
JI11_96530	JI11_96530,JI4_81104,JI14_6002,JI8_86964,JI5_282713,JI6_114695,JI10_68179,JI3_172309,JI1_254172
NG1_471340	NG1_471340
HY3_116460	HY3_116460,HY1_44886,HY2_138490
AH-DS_299587	AH-DS_299587,AH-AS_189671
WT-EFF_251245	WT-EFF_251245,WT-INF_93681,WT-DS_271061,WT-AS_41465
HP80_11522	HP80_11522
EM-EFF_291219	EM-EFF_291219,TE-EFF_236818,JI13_321113
AH-EFF_116784	AH-EFF_116784,AH-AS_226873,AH-DS_419915
IL13_68363	IL13_68363,IL11_103359,IL14_52914,JI9_102114
HP24_832	HP24_832,HP11_99647,HP23_3725,HP1_478,HP22_2638,HP82_774,HP81_153658,HP17_5210,HP84_21326,HP74_6606
NG1_145498	NG1_145498
HP80_17730	HP80_17730
WC33_12614	WC33_12614
TG-DS_198455	TG-DS_198455,TG-AS_2360,TG-EFF_291955,EM-AS_340878,EM-DS_135560
HP76_139600	HP76_139600,HP74_17231,HP81_135318,HP79_145366
SA2_107495	SA2_107495,SA1_116469,SA3_52725,JI3_411365
TU-EFF_72081	TU-EFF_72081,AD-AS_208473,AD-DS_131011,AD-EFF_201604
IL21_25065	IL21_25065,IL27_44548,IL16_17907,IL15_43638,IL22_19230,IL2_82343,IL28_69823,IL24_43982,IL23_40617,IL20_12223,IL1_91560,IL18_56516,IL6_117434,IL17_33829,IL11_21110,IL4_22752,IL25_38089,IL19_73548,IL7_19003,IL10_26413,IL3_98752,IL9_96066,IL26_6837,IL30_40564,UP3_2148,IL35_85171
IL35_13288	IL35_13288
JI13_331372	JI13_331372,TU-EFF_218446,JI14_136720,JI12_43857,TU-AS_251619
IL13_33468	IL13_33468,IL19_41486,WC4_11236,WC43_10447,WC32_45944,WC15_38775,WC10_28695,IL6_46436,IL5_31557,IL4_31299,IL3_122924,IL2_76742,IL28_30773,IL26_73713,IL25_43703,IL24_49613,IL22_23354,IL21_40304,IL20_48092,IL18_41433,IL17_30424,WC6_20496,WC35_9932,WC34_10455,WC23_10788,WC20_43057,WC13_26568,WC12_6982,WC18_39041,WC25_19078,WC21_47034,IL7_41016,IL16_129052,IL15_9232,WC8_5432,WC5_30534,WC14_26769,IL14_13892,IL11_80973,WC2_7739,WC31_41623,WC30_46523,IL37_7822,IL36_78393,IL32_46121,WC19_27139,JI2_228890,WC16_16197,JI1_290531,JI3_231875,WC33_24523,IL27_37441,WC1_32566,IL23_43440,WC3_32884,IL1_71018,WC29_14592,WC28_45870,WC26_7894,WC9_30477,WC11_13821,WC22_31411,WT-EFF_168245,WC7_20794,WC27_10858,WT-AS_245726,AH-EFF_19855,WC24_12861
IL9_88860	IL9_88860,IL30_65600,IL10_46106,IL12_53551,IL8_8775,IL29_16532
JI13_99901	JI13_99901,JI14_277520
JI5_31592	JI5_31592
FD-EFF_96988	FD-EFF_96988,FD-DS_235757,FD-AS_349389
JI1_357608	JI1_357608
IL13_116594	IL13_116594,IL11_50000,IL14_5417
IL37_43807	IL37_43807,IL32_82598,IL36_79348
JI6_88169	JI6_88169,JI5_308084,JI4_172637
AD-AS_293390	AD-AS_293390,FR-AS_131369
ES31_4805	ES31_4805,ES30_9197
JI1_49909	JI1_49909,JI8_82513,JI9_121965,JI11_188229,JI10_67341,JI14_95529,JI12_213163,JI4_164912,JI13_137572,JI5_16281
IL14_123065	IL14_123065,IL3_151649,IL2_166491,IL21_7252,IL1_74556,IL4_18019,IL5_80250,IL22_75699,IL15_99813,IL20_38844,IL18_71388,IL24_20419,IL16_119065
TG-AS_196197	TG-AS_196197,TU-DS_191651
MN-EFF_177844	MN-EFF_177844,TU-EFF_63852
IL32_89069	IL32_89069,IL36_44894,IL37_53581
JI13_214477	JI13_214477
HP25_2555	HP25_2555,PL34_9083,PL75_11067,HP35_11547,ES9_3207,PL48_7587,PL70_16742,HP35_12099,PL56_2777,PL66_21441,PL2_10200,PL50_1643,PL68_28668,PL3_1935,ES38_2726,HP10_145461,ES1_3310,PL58_2964,ES33_11869,HP10_136220,HP73_52817,SJ6_2522,HP59_4772,PL45_73417,PL1_5077,ES36_6738,HP11_111132,PL72_3641,PL16_2935,HP80_9508,HP12_88495,HP17_2227,PL49_22153,PL65_14079,ES16_7184,HP83_46331,PL33_1003,PL13_11697,ES31_7677,PL63_8735,PL1_501,HP20_2070,PL32_18854,HP52_692,ES39_2404,HP84_18550,ES29_10328,HP27_16781,HP29_31875,HP24_6408,PL60_3607,PL15_2485,PL62_98924,ES32_62220,HP32_5433,PL72_13759,OC8_3039,ES3_9289,PL29_6348,HP37_141995,NC3_456,PL35_1124,PL17_3755,PL46_3912,HP29_30531,HP38_6299,HP18_5453,HP81_20115,HP40_4730,HP84_17971,PL25_2100,ES43_54024,ES30_7161,HP22_6039,HP48_176236,HP47_177782,HP34_4933,PL69_21915,PL5_11194,SB3_2907,HP26_1817,PL4_7514,HP92_4284,PL18_1669,HP21_2326,ES46_2148,HP19_4576
EM-AS_163083	EM-AS_163083,EM-DS_338054
JI3_168428	JI3_168428,SA1_77495,SA2_13409,JI1_74512,SA3_53849,IL34_35843
JI13_121949	JI13_121949,JI1_387338,JI2_339173,JI5_90721,JI3_262021,JI9_85480,JI7_98935,JI14_282100,IL42_96867,JI12_137501,IL35_30639
AH-AS_380398	AH-AS_380398,AH-EFF_66572,AH-DS_422981
AH-EFF_31153	AH-EFF_31153,AH-DS_290089,AH-AS_314214
WC1_15752	WC1_15752,WC22_8017,WC4_16246,WC6_21724,WC32_39603,WC5_28128,WC41_820,WC12_4994,WC43_31453,WC26_9032,WC19_6370,WC9_21761,WC30_17805,WC21_32221,WC35_38776,WC16_9399,WC2_32132,WC13_11578,WC27_17826,WC34_8178,WC33_9778,WC20_18905,WC28_30034,WC29_11582,WC10_12306,WC31_30525,WC17_24419,WC11_7328,WC23_11848,WC14_38580,WC7_15227,WC24_30797,WC18_15238,WC15_14553,WC8_20193,WC3_10373,WC25_11292,SF63_27325,FD-EFF_203257,FR-AS_26597,IL29_26622,IL8_17,NG1_499795,IL10_41441,IL9_24691,SF64_52730,MN-DS_152967,MN-AS_178858,MN-INF_128550,SF68_181936,IL30_53608,IL14_40307,IL12_79570,EM-INF_262600,SF62_7816,IL42_117372,IL35_126560,MN-AS_31601,MN-EFF_100001,MN-DS_153261,TU-EFF_264072,AD-INF_28478,IL41_133646
JI11_18465	JI11_18465,JI7_308272,JI9_149662,JI5_279841
AH-EFF_25314	AH-EFF_25314,AH-AS_174800,AH-DS_187763,AH-INF_135163
TU-EFF_241948	TU-EFF_241948,TU-AS_11514,TU-DS_198110
FR-AS_131132	FR-AS_131132,FR-INF_93066,FR-EFF_246481,AD-EFF_251322,FR-DS_99995,ZR-DS_77798,ZR-EFF_35685
GU1_12893	GU1_12893
FD-AS_97161	FD-AS_97161,FD-DS_238275,FD-EFF_15919,TE-DS_309022
HP40_1320	HP40_1320,HP32_6643,HP31_2844,HP47_188825,HP48_19271
IL35_4564	IL35_4564,IL42_71557
IL40_60695	IL40_60695,IL31_29820
TG-EFF_99292	TG-EFF_99292
HP92_5704	HP92_5704,HP91_3132
IL21_115492	IL21_115492,IL2_124945,WC27_22995,IL24_18965,WC9_20762,WC8_23684,WC5_5693,WC4_29054,WC41_5536,WC35_20866,WC34_25677,WC30_36747,WC2_15217,WC28_41657,WC26_3478,WC25_26132,WC22_44397,WC21_13800,WC20_45975,WC1_16955,WC19_26406,WC13_40131,WC10_47356,IL9_35230,IL7_33929,IL6_65256,IL5_9842,IL3_76336,IL30_54864,IL27_30721,IL26_49542,IL25_29350,IL23_39195,IL22_23967,IL1_133956,IL19_3110,IL18_37266,IL17_64210,IL15_91856,IL13_22872,IL12_103360,IL11_75061,WC6_10196,WC43_22663,WC3_25973,WC32_23901,WC29_8351,WC23_32474,WC18_25037,WC17_10157,WC16_34598,WC15_35281,WC14_46203,WC12_35104,IL8_13469,IL10_68392,WC7_17215,WC33_22747,WC24_33128,WC11_37561,IL4_18697,IL28_55774,IL16_94555,IL29_1868,WC31_37158,IL14_57773
IL10_43780	IL10_43780,IL12_22307,IL9_156746,IL29_20061,IL8_32081,IL30_42697,WC25_2186,WC18_15054,WC11_13787
PL48_5835	PL48_5835,PL61_14002,PL56_8608,PL27_1271,PL25_2023,PL18_4318,PL58_2707,PL32_6563,PL26_31559,PL15_2631,PL60_2976,PL62_4328,PL49_61582,PL1_2416,PL16_3783,PL4_643,PL33_3111,PL45_49428,PL50_46439,PL19_3570,PL46_9429,PL65_58899,PL75_1772,PL70_13752,PL68_71987,HP83_10870,PL67_51335,PL72_8315,PL69_20138,PL63_22558,PL13_13013,PL66_11100,PL72_1427,PL65_107984,PL50_44740,PL49_31260,PL46_6744,PL36_3251,PL34_13575,PL58_1729,PL37_61618,PL68_121180,PL75_4833,PL69_14012,HP40_5991,PL70_2096,HP32_915,PL66_27580,HY3_20867,HY2_119306,PL47_3749,PL56_909,PL47_2685,PL28_32769,PL34_7301,HP35_6654,PL61_48208,PL55_5258,HP31_1646,PL37_8004
HY2_21400	HY2_21400,HY3_22369,HY1_70323
HP24_1243	HP24_1243,HP20_5554,OC5_3045,PL46_7335,HP92_1773,HP32_8214,PL72_19702,PL48_9035,OC7_1367,HP52_12056,ES29_109654,PL70_12096,PL27_2997,JW6_2889,HP83_62955,HP23_4834,PL16_478,HP49_14390,PL62_58013,ES17_2939,OC9_1348,PL18_7846,PL66_12466,HP84_23801,HP2_9738,HP17_5744,HP3_3518,ES9_5582,PL57_15239,HP18_3233,PL15_252,PL68_9670,ES22_14942,PL13_3596,HP91_3380,HP26_1234,HP62_125238,HP51_94629,PL3_6763,HP4_146093,HP36_263321,HP63_38810,HP29_74226,SJ14_5925,SB1_4237,PL75_7721,PL63_25083,PL59_14420,PL50_10525,PL45_37710,PL34_13443,PL2_7435,PL25_4708,HP76_154003,HP75_49821,HP60_140178,HP48_38146,HP35_6215,HP25_5473,HP1_1986,HP12_16237,ES43_54718,ES39_15255,ES35_27553,ES31_8210,ES23_9993,ES15_4998,PL60_2176,SJ7_4839,SJ6_4439,SJ5_3505,PL65_146652,PL5_11407,PL56_8595,PL32_40702,PL26_44721,PL20_1286,PL1_9036,PL19_232,OC8_624,OC4_3750,IL36_31552,HP79_91022,HP78_148457,HP27_22628,HP22_5529,ES46_3999,ES44_1628,ES42_17924,ES40_42056,ES38_3667,ES36_26037,ES34_51616,ES33_36475,ES32_61525,ES19_10611,ES16_6664,PL47_63,ES27_2817,PL37_23218,PL17_3923,PL12_25086,HP80_10207,HP73_79640,HP37_203325,ES30_14870,ES18_20312,HP64_2779,PL49_50559,PL4_4227,OC6_3920,HP77_168165,HP59_493,HP21_7460,ES45_5732,HP38_8677,OC1_1794,HP6_31952,ES28_20994,ES26_51547,PL61_38245,PL53_9868,IL32_20016,HP54_59246,HP19_5813,PL69_62592,PL58_2621,HP40_6609,HP31_3439,JW7_1849,PL28_67240,ES1_1621,ES25_64232,HP47_263510,HP11_65761,IL37_102356,HP74_19683,HP10_68276,HP82_22678,PL29_7330,IL40_93521,PL67_38918,OC3_11880,ES20_39983,PL55_5021,SB3_4924,HP61_10631,HP28_248222,SB5_3654,PL33_657,ES11_131739,HP34_19393,HP81_38636,HP53_68733,IL31_106009,HP72_75889,PL64_165388,PL54_2358,PL21_116012,IL39_43538,NC3_2583,SB4_4633,ES24_2869,HP30_1419,SJ1_399,PL36_15408,SB2_558,SJ10_182,IL33_113284,IL34_37314,NC7_702,PL35_2901,HP85_1072,HP39_40444,HP72_88056,PL75_4371,SJ7_5106,IL9_155276,SJ3_415,PL15_3733,ES39_10907,OC8_513,HP17_1956,ES15_5183,PL12_7898,OC5_921,PL66_55026,HP18_4234,IL10_68353,PL72_54,HP45_41169,IL38_64932,HP19_3476,ES46_4612,HP6_98121,HP20_2930,NC3_3223,PL19_2917,SB3_4957,IL35_109378,ES3_6541,SJ13_893,HP84_25240,HP44_39196,HP68_14410,ES21_100571,IL12_11022,HP88_2710,HP16_1093,PL53_3498,IL8_8788,HP87_1003,IL29_43185,SJ4_354,HP89_2849,JI2_334306,IL20_109059,JI3_440141,ES9_4925,ES13_21030,HP90_716
TE-EFF_219186	TE-EFF_219186,TE-DS_224592,TG-EFF_247606,NI3_53570,NI1_59519,NI2_59932,TE-AS_404777
JI7_99536	JI7_99536,JI1_299397
TU-DS_72392	TU-DS_72392,TU-AS_134963,FR-EFF_125155,TU-EFF_100021,TU-INF_232499
AD-EFF_45348	AD-EFF_45348,AD-AS_6059,AD-DS_17160,TU-EFF_75619,AD-INF_8816
JI13_62189	JI13_62189,JI12_47457,JI14_232076
PL66_17383	PL66_17383,HP83_29349,PL70_11783,PL72_20538,PL75_2253
ZS1_44289	ZS1_44289,NG1_174889,ZS2_41447,ZS3_5017
FR-EFF_73224	FR-EFF_73224,IL33_54801,IL9_64556,IL8_45236,FR-INF_323627,IL34_10019,IL30_45598,IL12_88021,IL10_31087,IL29_41013,IL18_69239,MN-EFF_64705,IL3_47740
IL16_71325	IL16_71325,IL6_78379,IL4_122643,IL15_31522,IL21_50731,IL5_30189,IL2_85524,IL17_62599,IL3_1831,IL27_47828,IL19_14185,IL18_42595,IL28_67873,IL7_25640,IL25_23693,IL26_38302,IL1_126281,IL24_43568,IL22_35380,IL23_35187,IL20_66552,IL14_111075,IL13_105869,IL11_38102
JI1_200224	JI1_200224,NG1_286739
TG-EFF_203874	TG-EFF_203874,JI7_330405,JI9_85177,JI4_61079,JI5_78139,JI6_110261,JI3_453977,JI2_62978,JI1_160419,JI11_155160,JI8_40972
TE-DS_169141	TE-DS_169141,TE-AS_105557,TE-EFF_215237,WT-AS_298854,WT-DS_380446,WT-INF_254807
SF29_71109	SF29_71109,SF30_57900,SF34_45077,SF31_43056,SF32_61745,SF33_37798,SF35_14164,SF48_185540,SF36_645,SF43_33227
TG-EFF_50166	TG-EFF_50166,SF18_34904,SF17_37724,SF20_84011,SF21_105932,SF19_34711
